Tree Structure Code,Code,Version Name,Classification Code,Organization Name,Parent Classification Code,Parent Organization Name
TreeStructureCode,TreeCode,TreeVersionName,ClassificationCode,OrganizationName,ParentClassificationCode,ParentOrganizationName
PER_ORG_TREE_STRUCTURE,NPG_HR_ORG_TREE,NPG HR Org Tree v1.0,ENTERPRISE,NorthPoint Group,,
PER_ORG_TREE_STRUCTURE,NPG_HR_ORG_TREE,NPG HR Org Tree v1.0,FUN_BUSINESS_UNIT,NPG Corporation,ENTERPRISE,NorthPoint Group
PER_ORG_TREE_STRUCTURE,NPG_HR_ORG_TREE,NPG HR Org Tree v1.0,DEPARTMENT,Executive Administration,FUN_BUSINESS_UNIT,NPG Corporation
PER_ORG_TREE_STRUCTURE,NPG_HR_ORG_TREE,NPG HR Org Tree v1.0,HCM_DIVISION,People Services,FUN_BUSINESS_UNIT,NPG Corporation
PER_ORG_TREE_STRUCTURE,NPG_HR_ORG_TREE,NPG HR Org Tree v1.0,HCM_DIVISION,Internal Audit,FUN_BUSINESS_UNIT,NPG Corporation
PER_ORG_TREE_STRUCTURE,NPG_HR_ORG_TREE,NPG HR Org Tree v1.0,HCM_DIVISION,Credit Review,FUN_BUSINESS_UNIT,NPG Corporation
PER_ORG_TREE_STRUCTURE,NPG_HR_ORG_TREE,NPG HR Org Tree v1.0,DEPARTMENT,xxx-Payroll,HCM_DIVISION,People Services
PER_ORG_TREE_STRUCTURE,NPG_HR_ORG_TREE,NPG HR Org Tree v1.0,DEPARTMENT,xxx-Workplace Excellence,HCM_DIVISION,People Services
PER_ORG_TREE_STRUCTURE,NPG_HR_ORG_TREE,NPG HR Org Tree v1.0,DEPARTMENT,xxx-People Services Admin,HCM_DIVISION,People Services
PER_ORG_TREE_STRUCTURE,NPG_HR_ORG_TREE,NPG HR Org Tree v1.0,DEPARTMENT,xxx-Learning Development,HCM_DIVISION,People Services
PER_ORG_TREE_STRUCTURE,NPG_HR_ORG_TREE,NPG HR Org Tree v1.0,DEPARTMENT,xxx-Internal Audit,HCM_DIVISION,Internal Audit
PER_ORG_TREE_STRUCTURE,NPG_HR_ORG_TREE,NPG HR Org Tree v1.0,DEPARTMENT,xxx-Credit Review,HCM_DIVISION,Credit Review
PER_ORG_TREE_STRUCTURE,NPG_HR_ORG_TREE,NPG HR Org Tree v1.0,FUN_BUSINESS_UNIT,Payroll COE,ENTERPRISE,NorthPoint Group
PER_ORG_TREE_STRUCTURE,NPG_HR_ORG_TREE,NPG HR Org Tree v1.0,FUN_BUSINESS_UNIT,Technology COE,ENTERPRISE,NorthPoint Group
PER_ORG_TREE_STRUCTURE,NPG_HR_ORG_TREE,NPG HR Org Tree v1.0,FUN_BUSINESS_UNIT,Recruit to Retire COE,ENTERPRISE,NorthPoint Group
